iter	Passed	Remaining
411	3933	5613
412	3941	5602
413	3953	5595
414	3961	5583
415	3970	5573
416	3977	5560
417	3986	5550
418	3993	5538
419	4002	5527
420	4012	5517
421	4022	5508
422	4031	5498
423	4040	5488
424	4049	5479
425	4058	5468
426	4068	5459
427	4075	5446
428	4084	5436
429	4093	5426
430	4102	5416
431	4111	5406
432	4120	5395
433	4129	5385
434	4138	5375
435	4147	5364
436	4155	5354
437	4164	5343
438	4176	5337
439	4186	5328
440	4195	5317
441	4205	5309
442	4214	5299
443	4222	5288
444	4232	5278
445	4241	5268
446	4251	5259
447	4260	5249
448	4269	5239
449	4278	5228
450	4287	5219
451	4296	5208
452	4305	5198
453	4314	5188
454	4323	5178
455	4332	5168
456	4340	5157
457	4349	5147
458	4368	5149
459	4379	5140
460	4399	5143
461	4410	5136
462	4422	5129
463	4434	5122
464	4444	5114
465	4454	5104
466	4463	5094
467	4471	5082
468	4480	5073
469	4490	5064
470	4500	5055
471	4510	5045
472	4520	5036
473	4529	5025
474	4538	5015
475	4546	5005
476	4555	4994
477	4564	4984
478	4573	4974
479	4584	4966
480	4594	4957
481	4603	4947
482	4614	4939
483	4625	4931
484	4640	4927
485	4649	4917
486	4659	4908
487	4682	4912
488	4691	4902
489	4701	4893
490	4710	4883
491	4719	4873
492	4728	4863
493	4738	4853
494	4746	4842
495	4755	4832
496	4765	4822
497	4774	4812
498	4783	4802
499	4793	4793
500	4803	4784
501	4813	4775
502	4822	4765
503	4831	4755
504	4841	4745
505	4851	4735
506	4860	4726
507	4869	4716
508	4879	4706
509	4887	4696
510	4897	4686
511	4906	4676
512	4915	4666
513	4925	4656
514	4937	4650
515	4946	4639
516	4955	4629
517	4964	4619
518	4973	4609
519	4982	4598
520	4991	4588
521	5000	4578
522	5009	4568
523	5018	4558
524	5026	4548
525	5036	4538
526	5045	4528
527	5054	4518
528	5063	4508
529	5073	4499
530	5083	4489
531	5092	4480
532	5102	4471
533	5113	4461
534	5123	4453
535	5134	4444
536	5148	4439
537	5160	4431
538	5170	4422
539	5180	4412
540	5189	4403
541	5199	4393
542	5208	4383
543	5217	4373
544	5227	4363
545	5237	4354
546	5245	4344
547	5255	4334
548	5264	4324
549	5273	4314
550	5282	4304
551	5291	4294
552	5300	4284
553	5312	4276
554	5322	4267
555	5330	4257
556	5340	4247
557	5351	4238
558	5360	4228
559	5369	4218
560	5378	4208
561	5387	4198
562	5396	4188
563	5405	4178
564	5414	4168
565	5423	4158
566	5433	4149
567	5442	4139
568	5452	4129
569	5461	4119
570	5470	4110
571	5483	4102
572	5492	4092
573	5501	4083
574	5511	4073
575	5520	4063
576	5529	4053
577	5538	4043
578	5548	4034
579	5557	4024
580	5566	4014
581	5575	4004
582	5585	3995
583	5594	3985
584	5604	3975
585	5616	3967
586	5625	3958
587	5634	3948
588	5644	3938
589	5656	3930
590	5665	3920
591	5675	3911
592	5684	3901
593	5693	3891
594	5703	3882
595	5712	3872
596	5722	3862
597	5731	3853
598	5740	3843
599	5750	3833
600	5759	3823
601	5768	3813
602	5777	3804
603	5787	3794
604	5796	3784
605	5805	3774
606	5814	3764
607	5824	3755
608	5835	3746
609	5845	3737
610	5856	3728
611	5866	3719
612	5878	3711
613	5889	3702
614	5898	3692
615	5908	3683
616	5919	3674
617	5929	3665
618	5939	3656
619	5951	3647
620	5961	3638
621	5970	3628
622	5981	3619
623	5991	3610
624	6001	3600
625	6010	3591
626	6020	3581
627	6030	3572
628	6040	3562
629	6049	3553
630	6059	3543
631	6069	3534
632	6079	3524
633	6088	3515
634	6098	3505
635	6108	3496
636	6118	3486
637	6128	3477
638	6138	3467
639	6147	3458
640	6157	3448
641	6168	3439
642	6178	3430
643	6187	3420
644	6203	3414
645	6213	3405
646	6223	3395
647	6233	3385
648	6242	3376
649	6252	3366
650	6261	3356
651	6271	3347
652	6280	3337
653	6290	3327
654	6300	3318
655	6309	3308
656	6319	3298
657	6329	3289
658	6341	3281
659	6441	3318
660	6488	3327
661	6505	3321
662	6521	3314
663	6543	3311
664	6565	3307
665	6591	3305
666	6608	3299
667	6634	3297
668	6648	3289
669	6662	3281
670	6680	3275
671	6694	3267
672	6706	3258
673	6728	3254
674	6739	3245
675	6750	3235
676	6761	3226
677	6773	3216
678	6785	3207
679	6795	3197
680	6805	3187
681	6816	3178
682	6825	3168
683	6836	3158
684	6846	3148
685	6857	3138
686	6867	3128
687	6877	3118
688	6887	3108
689	6897	3098
690	6907	3088
691	6918	3079
692	6929	3069
693	6943	3061
694	6953	3051
695	6963	3041
696	6974	3031
697	6985	3022
698	6997	3013
699	7007	3003
700	7017	2993
701	7026	2982
702	7036	2972
703	7046	2962
704	7057	2952
705	7067	2943
706	7077	2933
707	7087	2922
708	7097	2913
709	7109	2904
710	7120	2894
711	7131	2884
712	7146	2876
713	7159	2867
714	7183	2863
715	7197	2854
716	7208	2845
717	7219	2835
718	7229	2825
719	7239	2815
720	7249	2805
721	7258	2794
722	7277	2788
723	7295	2781
724	7306	2771
725	7315	2760
726	7325	2750
727	7334	2740
728	7344	2730
729	7354	2720
730	7363	2709
731	7373	2699
732	7382	2689
733	7393	2679
734	7403	2669
735	7413	2659
736	7423	2649
737	7433	2639
738	7443	2628
739	7456	2619
740	7465	2609
741	7475	2599
742	7486	2589
743	7496	2579
744	7506	2569
745	7516	2559
746	7527	2549
747	7539	2540
748	7549	2529
749	7559	2519
750	7569	2509
751	7579	2499
752	7592	2490
753	7604	2480
754	7615	2471
755	7627	2461
756	7638	2451
757	7648	2441
758	7662	2432
759	7675	2423
760	7685	2413
761	7696	2404
762	7710	2395
763	7722	2385
764	7733	2375
765	7746	2366
766	7757	2356
767	7768	2346
768	7778	2336
769	7789	2326
770	7799	2316
771	7809	2306
772	7819	2296
773	7829	2286
774	7838	2275
775	7848	2265
776	7857	2255
777	7866	2244
778	7875	2234
779	7885	2224
780	7895	2213
781	7904	2203
782	7914	2193
783	7924	2183
784	7933	2172
785	7943	2162
786	7953	2152
787	7962	2142
788	7972	2132
789	7981	2121
790	7990	2111
791	8000	2101
792	8009	2090
793	8019	2080
794	8029	2070
795	8038	2060
796	8048	2050
797	8057	2039
798	8066	2029
799	8076	2019
800	8085	2008
801	8094	1998
802	8103	1988
803	8113	1977
804	8122	1967
805	8131	1957
806	8141	1947
807	8151	1936
808	8160	1926
809	8169	1916
810	8178	1906
811	8187	1895
812	8196	1885
813	8206	1875
814	8215	1864
815	8224	1854
816	8233	1844
817	8243	1834
818	8252	1823
819	8261	1813
820	8270	1803
821	8279	1792
822	8288	1782
823	8297	1772
824	8305	1761
825	8329	1754
826	8346	1746
827	8358	1736
828	8369	1726
829	8379	1716
830	8390	1706
831	8418	1699
832	8430	1690
833	8440	1680
834	8450	1669
835	8459	1659
836	8469	1649
837	8478	1639
838	8488	1628
839	8497	1618
840	8507	1608
841	8516	1598
842	8526	1587
843	8535	1577
844	8545	1567
845	8555	1557
846	8564	1547
847	8574	1536
848	8583	1526
849	8593	1516
850	8603	1506
851	8613	1496
852	8622	1486
853	8633	1475
854	8643	1465
855	8655	1456
856	8665	1445
857	8675	1435
858	8684	1425
859	8694	1415
860	8703	1405
861	8713	1394
862	8723	1384
863	8732	1374
864	8742	1364
865	8751	1354
866	8760	1343
867	8771	1333
868	8781	1323
869	8790	1313
870	8800	1303
871	8810	1293
872	8819	1283
873	8828	1272
874	8838	1262
875	8847	1252
876	8856	1242
877	8865	1231
878	8875	1221
879	8884	1211
880	8894	1201
881	8903	1191
882	8913	1180
883	8922	1170
884	8931	1160
885	8941	1150
886	8950	1140
887	8959	1130
888	8968	1119
889	8977	1109
890	8986	1099
891	8996	1089
