iter	MAE
524	1688.899964
525	1688.899584
526	1688.899571
527	1688.899558
528	1688.899545
529	1688.899177
530	1688.89882
531	1688.898467
532	1688.898456
533	1688.89812
534	1688.898109
535	1688.898098
536	1688.897772
537	1688.897456
538	1688.897144
539	1688.897139
540	1688.897134
541	1688.897125
542	1688.897116
543	1688.897111
544	1688.89703
545	1688.897022
546	1688.896726
547	1688.896438
548	1688.896431
549	1688.896152
550	1688.896148
551	1688.895807
552	1688.895732
553	1688.895725
554	1688.895718
555	1688.895712
556	1688.895621
557	1688.895618
558	1688.895549
559	1688.895196
560	1688.89519
561	1688.894936
562	1688.870313
563	1687.651928
564	1686.472361
565	1686.434043
566	1685.285406
567	1685.24934
568	1684.117858
569	1684.097676
570	1683.017902
571	1682.999067
572	1681.958414
573	1681.92782
574	1681.910433
575	1680.900366
576	1679.902059
577	1678.949156
578	1678.92233
579	1678.001163
580	1677.975641
581	1677.075146
582	1676.19949
583	1675.356367
584	1675.343154
585	1675.32115
586	1674.513313
587	1673.718515
588	1673.698307
589	1673.686639
590	1672.918339
591	1672.911819
592	1672.89328
593	1672.882489
594	1672.872472
595	1672.127785
596	1672.11099
597	1672.094695
598	1671.37052
599	1671.361352
600	1670.662052
601	1670.647333
602	1670.632355
603	1670.627911
604	1669.956096
605	1669.942692
606	1669.938678
607	1669.280006
608	1668.64327
609	1668.023779
610	1668.016745
611	1667.423296
612	1667.411987
613	1666.834686
614	1666.271505
615	1666.260638
616	1665.717756
617	1665.191161
618	1665.181378
619	1664.671063
620	1664.165953
621	1664.1574
622	1663.672045
623	1663.667584
624	1663.202014
625	1662.750745
626	1662.314941
627	1662.310936
628	1662.303188
629	1662.296109
630	1662.28948
631	1661.867605
632	1661.863857
633	1661.450079
634	1661.050064
635	1661.044212
636	1661.038535
637	1660.64841
638	1660.645292
639	1660.639398
640	1660.263609
641	1660.258681
642	1660.253505
643	1659.889084
644	1659.538435
645	1659.194573
646	1659.193286
647	1658.853954
648	1658.534093
649	1658.53209
650	1658.214852
651	1657.913938
652	1657.910289
653	1657.618511
654	1657.335487
655	1657.054031
656	1656.787721
657	1656.529401
658	1656.272514
659	1656.270941
660	1656.025571
661	1655.789838
662	1655.78701
663	1655.784238
664	1655.555741
665	1655.554037
666	1655.330146
667	1655.106923
668	1654.892624
669	1654.690349
670	1654.494142
671	1654.301736
672	1654.1115
673	1654.109459
674	1653.928756
675	1653.926538
676	1653.924371
677	1653.750838
678	1653.749878
679	1653.748974
680	1653.578738
681	1653.4155
682	1653.249828
683	1653.094008
684	1652.943136
685	1652.941352
686	1652.795089
687	1652.653247
688	1652.652784
689	1652.651575
690	1652.650515
691	1652.511188
692	1652.510135
693	1652.375674
694	1652.24074
695	1652.240286
696	1652.109053
697	1652.107795
698	1651.979055
699	1651.854426
700	1651.741093
701	1651.740597
702	1651.630689
703	1651.630227
704	1651.629783
705	1651.629367
706	1651.516381
707	1651.411662
708	1651.411196
709	1651.304975
710	1651.304519
711	1651.201244
712	1651.101066
713	1651.009536
714	1650.920753
715	1650.920405
716	1650.920006
717	1650.828205
718	1650.739186
719	1650.738865
720	1650.652526
721	1650.569516
722	1650.486772
723	1650.408557
724	1650.335258
725	1650.265332
726	1650.2646
727	1650.195499
728	1650.129715
729	1650.064705
730	1650.001645
731	1649.916206
732	1649.915943
733	1649.856579
734	1649.799965
735	1649.740017
736	1649.739784
737	1649.681531
738	1649.629072
739	1649.628852
740	1649.628578
741	1649.628313
742	1649.577195
743	1649.576867
744	1649.576623
745	1649.527945
746	1649.475785
747	1649.430272
748	1649.430051
749	1649.379788
750	1649.3794
751	1649.334741
752	1649.334559
753	1649.291363
754	1649.291172
755	1649.290895
756	1649.249894
757	1649.249639
758	1649.249246
759	1649.249086
760	1649.207988
761	1649.163997
762	1649.163256
763	1649.124705
764	1649.088858
765	1649.053532
766	1649.019069
767	1649.018615
768	1648.985935
769	1648.953763
770	1648.953332
771	1648.921266
772	1648.891432
773	1648.861879
774	1648.830851
775	1648.80355
776	1648.777117
777	1648.750796
778	1648.725924
779	1648.701152
780	1648.677329
781	1648.654621
782	1648.632325
783	1648.610947
784	1648.590273
785	1648.570207
786	1648.550773
787	1648.531923
788	1648.513638
789	1648.495734
790	1648.478443
791	1648.461669
792	1648.445469
793	1648.429764
794	1648.41453
795	1648.399753
796	1648.385337
797	1648.37141
798	1648.356797
799	1648.343702
800	1648.331011
801	1648.318676
802	1648.306539
803	1648.294954
804	1648.283702
805	1648.269878
806	1648.259268
807	1648.248854
808	1648.237328
809	1648.227701
810	1648.216681
811	1648.207495
812	1648.198747
813	1648.190141
814	1648.179106
815	1648.171043
816	1648.163125
817	1648.155472
818	1648.148155
819	1648.140952
820	1648.134023
821	1648.127338
822	1648.119393
823	1648.113022
824	1648.106948
825	1648.100073
826	1648.094297
827	1648.086114
828	1648.080724
829	1648.075496
830	1648.070415
831	1648.065495
832	1648.060732
833	1648.05608
834	1648.05075
835	1648.046346
836	1648.04066
837	1648.036503
838	1648.032422
839	1648.028454
840	1648.024677
841	1648.020941
842	1648.017387
843	1648.01394
844	1648.010521
845	1648.007204
846	1648.004057
847	1648.001004
848	1647.998038
849	1647.995162
850	1647.992009
851	1647.989299
852	1647.986672
853	1647.983321
854	1647.980783
855	1647.978383
856	1647.976051
857	1647.971375
858	1647.964145
859	1647.962018
860	1647.959951
861	1647.957952
862	1647.956002
863	1647.95412
864	1647.952291
865	1647.950512
866	1647.948725
867	1647.947065
868	1647.944717
869	1647.943148
870	1647.939775
871	1647.938012
872	1647.936547
873	1647.935151
874	1647.933265
875	1647.929638
876	1647.928344
877	1647.927123
878	1647.925935
879	1647.924771
880	1647.923646
881	1647.922554
882	1647.921495
883	1647.9204
884	1647.919062
885	1647.918095
886	1647.917154
887	1647.916235
888	1647.915256
889	1647.914269
890	1647.913374
891	1647.912572
892	1647.91179
893	1647.910704
894	1647.909711
895	1647.908876
896	1647.908171
897	1647.907486
898	1647.906648
899	1647.905886
900	1647.905261
901	1647.903855
902	1647.903249
903	1647.90262
904	1647.902056
905	1647.901408
906	1647.900163
907	1647.899641
908	1647.897295
909	1647.896175
910	1647.895088
911	1647.894122
912	1647.89367
913	1647.893237
914	1647.892575
915	1647.892154
916	1647.891736
917	1647.891312
918	1647.890903
919	1647.890305
920	1647.889128
921	1647.888626
922	1647.888292
923	1647.887927
924	1647.887611
925	1647.887289
926	1647.886992
927	1647.886706
928	1647.886427
929	1647.885944
930	1647.885596
931	1647.885357
932	1647.885108
933	1647.884258
934	1647.883985
935	1647.883746
936	1647.883516
937	1647.883092
938	1647.882885
939	1647.882552
940	1647.882355
941	1647.882095
942	1647.881903
943	1647.881702
944	1647.881525
945	1647.881198
946	1647.881023
947	1647.880776
948	1647.880584
949	1647.880348
950	1647.880152
951	1647.880008
952	1647.879279
953	1647.879104
954	1647.878893
955	1647.878763
956	1647.878637
957	1647.878467
958	1647.878152
959	1647.877971
960	1647.877841
961	1647.877736
962	1647.877633
963	1647.877277
964	1647.877107
965	1647.876952
966	1647.876806
967	1647.87672
968	1647.876304
969	1647.874672
970	1647.874593
971	1647.874508
972	1647.874415
973	1647.874343
974	1647.874265
975	1647.872719
976	1647.872645
977	1647.872579
978	1647.872509
979	1647.872437
980	1647.872367
981	1647.872118
982	1647.872016
983	1647.871955
984	1647.870407
985	1647.87017
986	1647.869845
987	1647.869745
988	1647.869625
989	1647.869573
990	1647.86952
991	1647.869401
992	1647.869301
993	1647.869082
994	1647.868869
995	1647.868663
996	1647.867233
997	1647.867019
998	1647.866975
999	1647.866933
